appended,state,order,title,altName,cer,lat,lon,writ,type,countr,ha,bibl
2022-06-15-(23-04-00),new,1100,Dūr-Marduk,"Dūr-Marduk, Dur-Marduk",–,–,–,"URU.BÀD-<sup>d</sup>AMAR.UTU, 𒌷𒂦𒀭𒀫𒌓",town,"Assyria, Raṣappa province (?), Iraq (?), Syria (?), East Ǧazīra",–,Bagg RGTC 7 2/1: 154
2022-06-16-(19-14-22),new,1101,Dūr-kuššia,"Dūr-kuššia, Dur-kuššia, Dūr-Kuššia, Dur-Kuššia",–,–,–,"URU.BÀD-kuš-ši-a, 𒌷𒂦𒋢𒅆𒀀",town,"Raṣappa province (?), Iraq",–,Bagg RGTC 7 2/1: 153
2022-06-17-(21-49-48),new,1102,Dūr-Nabû,"Dūr-Nabû, Dūr-Nabium",–,–,–,"URU.BÀD-<sup>d</sup>PA, 𒌷𒂦𒀭𒉺",town,"Balīḫ basin<br>Syria (?), Turkey (?)",–,Bagg RGTC 7 2/1: 154 (Dūr-Nabû (1))
2022-06-20-(15-06-11),new,1103,Dūr-Adad-nērārī,"Dūr-Adad-nērārī, Dūr-Adad-nārārī, Tall Fidēn (?), Tell Fidēn (?), Tell Fiden (?), الفيدن (?)",–,35.3633,40.5629,"URU.BÀD-<sup>m</sup>10-ERÍN-TÁḪ, URU.BÀD-<sup>m</sup>10-ERIM-TÁḪ, 𒌷𒂦𒁹𒌋𒂟𒃮",town,"Lāqê, Syria",–,"Bagg RGTC 7 2/1: 147, <a href=https://books.openedition.org/cdf/4513>MTT I/3: Tall Fiden (aB Bīt-Kapan)</a>"
2022-06-20-(15-32-42),new,1104,Dūr-Abī-Jataʾ,"Dūr-Abī-Jataʾ, Dūr-Abī-Yataʾ, Dūr-Abī-Iataʾ, Dūr-Abī-Jateʾ, Dūr-Abī-Iateʾ, Dūr-Abijataʾ",–,–,–,"URU.BÀD-<sup>m</sup>a-bi-ia-ta-aʾ, 𒌷𒂦𒁹𒀀𒁉𒅀𒋫𒀪",fortified city,"Bīt-Dakkūri, Iraq",–,Bagg RGTC 7 3/1: 184
2022-06-21-(14-00-35),new,1105,Dūr-Addu,"Dūr-Addu, Dūr-Adad, Dur-Addu, Dur-Adad",–,–,–,"URU.BÀD-ad-du, 𒌷𒂦𒀜𒁺",town,"Babylonia (?), Iraq (?)",–,Bagg RGTC 7 3/1: 184
2022-06-21-(14-00-47),new,1106,Dūr-Addu,"Dūr-Addu, Dūr-Adad, Dur-Addu, Dur-Adad",–,–,–,"URU.BÀD-ad-du, 𒌷𒂦𒀜𒁺",town,"Babylonia (?), Iraq (?)",–,Bagg RGTC 7 3/1: 184
2022-06-23-(12-16-50),new,1107,Purulumzi,"Purulumzi, Purulumzu, Purulimzi, Purulimzu",–,–,–,"KUR.pu-ru-lim-zi, 𒆳𒁍𒊒𒅆𒍣, KUR.pu-ru-lum-zi, 𒆳𒁍𒊒𒈝𒍣, KUR.pu-ru-lu-um-zi, 𒆳𒁍𒊒𒇻𒌝𒍣",territory,Turkey,–,<a href=https://books.openedition.org/cdf/4565>MTT I/2: Purulumzi</a>
2022-06-23-(18-59-50),new,1108,Šerešše,"Šerešše, Šereššu",–,–,–,"URU.še-re-še, 𒌷𒊺𒊑𒊺", town,"Katmuḫu, Iraq (?), Syria (?), Turkey (?)",–,<a href=https://books.openedition.org/cdf/4565>MTT I/2: Šerešše</a>
2022-06-24-(13-42-00),new,1109,Guzummānu,"Guzummānu, Guzummanu, Guzummāni, Guzumānu, Guzumanu",–,–,–,"KUR.gu-zu-um-ma-ni, 𒆳𒄖𒍪𒌝𒈠𒉌, KUR.gu-zu-um-ma-nu, 𒆳𒄖𒍪𒌝𒈠𒉡, URU.gu-zu-um-ma-nu, 𒌷𒄖𒍪𒌝𒈠𒉡, LÚ.gu-zu-ma-nu, 𒇽𒄖𒍪𒈠𒉡","territory, fortified city","Babylonia, Bīt-Dakkūri, Iraq",–,"Bagg RGTC 7 3/1: 240, Parpola Toponyms: 139, <a href=https://www.ucl.ac.uk/sargon/peoplegodsplaces/>Assyrian empire builders</a>"
