order,name,altName,cer,lat,lon,writ,type,countr,ha,bibl
1074,Abaindi,Abaindi,–,–,–,"URU.a-ba-in-di, 𒌷𒀀𒁀𒅔𒁲",fortified city,"Aiadi, Iran",–,"Bagg RGTC 7 3/1: 1–2, Parpola Toponyms: 1, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abaindi)</a>"
2,Abani,Abani,–,–,–,"ÍD.a-ba-ni, 𒀀𒇉𒀀𒁀𒉌",river,"Elam, Rāši, Iran",–,"Parpola Toponyms: 1, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Abani</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-waters/onebigfile.html' target='_blank'>ATAE Glossary: Watercourses (Abani [1])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-waters/onebigfile.html' target='_blank'>SAAo Glossary: Watercourses (Abani [1])</a>"
3,Abarnani,"Abarnani, Abarnānu, Sultan Tepe (?)",–,–,–,"URU.a-bar-na-ni, 𒌷𒀀𒁇𒈾𒉌",fortified city,"Quwê, Turkey",–,"Bagg RGTC 7 1: 1, Parpola Toponyms: 1, <a href='https://pleiades.stoa.org/places/726944832' target='_blank'>Pleiades: Abarnani</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abarnanu)</a>"
6,Abattê,"Abattê, Abatte",–,–,–,"URU.a-bat-te-e, 𒌷𒀀𒁁𒋼𒂊",town,"Central Assyria (?), Iraq (?)",–,"Bagg RGTC 7 2/1: 2–3, Parpola Toponyms: 1 (Abat-...), <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Abatte)</a>"
7,Abbissa,"Abbissa, Abbissâ, Apheisôn, Apheison, Pheisôn, Pheison, Fis",3,38.365263,40.547443,"URU.ab-bi-is-sa, 𒌷𒀊𒁉𒄑𒊓, URU.ab-bi-sa-a, 𒌷𒀊𒁉𒊓𒀀",town,"Naʾiri, Turkey",3 D2,"Bagg RGTC 7 2/1: 3, Helsinki Atlas: 5 (map 3 D2), Parpola Toponyms: 2, <a href='https://pleiades.stoa.org/places/874646' target='_blank'>Pleiades: Pheison</a>, <a href='https://www.geonames.org/314907/fis.html' target='_blank'>Geonames: Fis</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abbissa [1])</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abbissa [1])</a>"
1075,Abdana,Abdana,–,–,–,"URU.ab-da-na-a-a, 𒌷𒀊𒁕𒈾𒀀𒀀",country,"Naʾiri, Iran",–,Bagg RGTC 7 3/1: 2 (*Abdana)
8,Abdudu,Abdudu,–,–,–,"URU.ab-du-di, 𒌷𒀊𒁺𒁲, URU.ab-du-da-a-a, 𒌷𒀊𒁺𒁕𒀀𒀀",city,"Assyria, Laḫīru",–,"Bagg RGTC 7 2/1: 3, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Abdudu</a>"
1076,Abdīnu,"Abdīnu, Abdinu, Apdīnu, Apdinu",–,–,–,"URU.ap-di-nu, 𒌷𒀊𒁲𒉡",fortress,"Rāši, Iran",–,Bagg RGTC 7 3/1: 2
9,Abil-šiṭṭi,"Abil-šiṭṭi, Abilakka, Abil..., Abel ha-Šiṭṭim, Tell al-Kafrain (?), Tall al-Kafrain (?), Al Kafrayn (?), الكفرين (?), Tall al-Ḥammām (?), Tell el-Hammam (?)",2,31.83955, 35.67318,"URU.a-bi-il-x-x, 𒌷𒀀𒁉𒅋-x-x, URU.a-bi-il-šiṭ-ṭi, 𒌷𒀀𒁉𒅋𒋃𒁲",city,"Bīt-Ḫazaʾil, Jordan",7 D5,"Bagg RGTC 7 1: 1 (Abil...), Helsinki Atlas: 5 (map 7 D5), <a href='https://www.geonames.org/250627/al-kafrayn.html' target='_blank'>Geonames: Al Kafrayn</a>, <a href='https://www.geonames.org/248731/tall-al-kafrayn.html' target='_blank'>Geonames: Tall al Kafrayn</a>, <a href='https://www.geonames.org/249273/tall-al-hammam.html' target='_blank'>Geonames: Tall al Ḩammām</a>"
10,Abilāte,"Abilāte, Abilate",–,–,–,"URU.a-bi-la-te, 𒌷𒀀𒁉𒆷𒋼",town,Izalla,–,"Bagg RGTC 7 2/1: 4, Parpola Toponyms: 2, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places</a> (Abilate), <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places</a> (Abilate)"
1077,Abirus,Abirus,–,–,–,"KUR.a-bi-ru-us, 𒆳𒀀𒁉𒊒𒊻 ",mountains,"Bīt-Kapsi, Iran",–,Bagg RGTC 7 3/1: 2–3
1078,Abitikna,Abitikna,–,–,–,"URU.a-bi-ti-ik-na, 𒌷𒀀𒁉𒋾𒅅𒈾, LÚ.URU.a-bi-ti-ik-na-a-a, 𒇽𒌷𒀀𒁉𒋾𒅅𒈾𒀀𒀀 ",city,"Mannāja, Iran",–,Bagg RGTC 7 3/1: 3
1079,Abnana,Abnana,–,–,–,"URU.ab-na-na, 𒌷𒀊𒈾𒈾",city,(?),–,Bagg RGTC 7 3/1: 3
1080,Abrau,Abrau,–,–,–,"KUR.ab-ra-ú(-x), 𒆳𒀊𒊏𒌑(-x)","land (?), mountain (?)","Mādāja, Ḫarḫār (?), Iran",–,Bagg RGTC 7 3/2: 3–4 
1081,Absaḫutti,Absaḫutti,–,–,–,"KUR.ab-sa-ḫu-at-ti, 𒆳𒀊𒊓𒄷𒀜𒋾","land (?), mountain (?)","Mādāja, Iran",–,Bagg RGTC 7 3/1: 4
1082,Abuqu,Abuqu,–,–,–,"URU.a-bu-qu, 𒌷𒀀𒁍𒄣",town,"Nimme, Iraq",–,"Bagg RGTC 7 3/1: 4, Parpola Toponyms: 3, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abuqu)</a>"
1,Abāja,"Abāja, Abaya, Abâ, Aba",–,–,–,"URU.a-ba-a, 𒌷𒀀𒁀𒀀, URU.a-ba-a.a, 𒌷𒀀𒁀𒀀𒀀",town,"Tušḫan province, Turkey, Kurdistan",–,"Bagg RGTC 7 3/2: 955 (Abāja; Add. to RGTC 7/2), <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Aba</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Abaya)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Abaya)</a>"
4,Abāt-Aššur-lā-tēni,"Abat-Aššur-lā-tenni, Abāt-Aššur-lā-tēni",–,–,–,"URU.a-bat-aš-šur-la-te-ni, 𒌷𒀀𒁁𒀸𒋩𒆷𒋼𒉌",city,Šubria,–,"Bagg RGTC 7 2/1: 2, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abat-Aššur-la-tenni)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abat-Aššur-la-tenni)</a>"
5,Abāt-šarri-lā-tēni,"Abāt-šarri-lā-tēni, Abat-šarri-lā-tenni",–,–,–,"URU.a-bar-MAN-la-te-ni, 𒌷𒀀𒁁𒌋𒌋𒆷𒋼𒉌",city,Šubria,–,"Bagg RGTC 7 2/1: 2, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Abat-šarri-la-tenni)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Abat-šarri-la-tenni)</a>"
1083,Abūrê,"Abūrê, Aburê",–,–,–,"URU.a-bu-re-e, 𒌷𒀀𒁍𒊑𒂊",city,"Puqūdu, Gambūlu, Babylonia, Iraq",–,Bagg RGTC 7 3/1: 4–5
12,Adab,"Adab, Bismāyā, Bismaya, بسمايا, Bismāyah, Bismayah, بسماية, بسمايه",1,31.95070965093329,45.62386036197451,"UD.NUN.KI, ADAB.KI, 𒌓𒉣𒆠, a-da-ab, 𒀀𒁕𒀊",city,"Babylonia, Iraq",–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Adab (Bismaya)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Adab/Bismāyā</a>, <a href='https://pleiades.stoa.org/places/787747618' target='_blank'>Pleiades: Adab</a>, <a href='https://www.geonames.org/6755794/bismayah.html' target='_blank'>Geonames: Bismāyah</a>"
1057,Adamdun,"Adamdun, Sostrate, Sōstrate, Tostar, Tustar, Šōstar, Šūštar, Shūstar, Shūshtar, Shushtar, شوشتر, Teppe Surkhehgan (?)",4,32.045,48.859444,–,city,"Elam, Iran",–,"<a href=https://pleiades.stoa.org/places/912941>Pleiades: Sostrate/Shushtar</a>, <a href='https://www.geonames.org/114584/shushtar.html' target='_blank'>Geonames: Shūshtar</a>, <a href=https://zenodo.org/record/6384045>Pedersén, ANE: Adamdun? (Teppe Surkhehgan)</a>"
1309,Adariḫiti,"Adariḫiti, Adarihiti",–,–,–,"URU.a-da-ri-ḫi-ti, 𒌷𒀀𒁕𒊑𒄭𒋾",town,"Babylonia, Puqūdu, Gambūlu, Zāmê, Iraq",–,"Parpola Toponyms: 3, Zadok RGTC 8: 2, SAA 21 110: 8, <a href='https://publikationen.badw.de/de/rla/index' target='_blank'>Ebeling RlA 1: 3</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Adarihiti [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Adarihiti [1])</a>"
13,Addauš,"Addauš, Adauš, Ḥabb as-Sulṭān Dāġ, Jabal Haybat Sulţān, Hab-es-Sultān Dāgh, جبل هيبت سلطان",–,36.09709,44.67702,"URU.ad-da-uš, 𒌷𒀜𒁕𒍑, KUR.a-da-uš, 𒆳𒀀𒁕𒍑",territory,"Ḫabrūri (?), Iraq",–,"Bagg RGTC 7 3/1: 5, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Adauš)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Addauš)</a>"
